Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796122818, 112635, 509, 503, 623
1557796122831, 112649, 510, 503, 623
1557796122843, 112661, 509, 502, 623
1557796122857, 112674, 510, 502, 622
1557796122870, 112688, 510, 502, 622
1557796122883, 112701, 510, 502, 622
1557796122896, 112713, 509, 502, 622
1557796122910, 112727, 510, 502, 622
1557796122922, 112740, 510, 502, 621
1557796122936, 112753, 510, 502, 621
1557796122948, 112765, 510, 501, 620
1557796122962, 112779, 510, 501, 620
1557796122975, 112792, 509, 500, 621
1557796122988, 112805, 509, 500, 623
1557796123000, 112819, 509, 501, 624
1557796123014, 112831, 508, 503, 625
1557796123027, 112844, 508, 504, 624
1557796123040, 112858, 510, 503, 623
1557796123052, 112871, 510, 503, 621
1557796123066, 112883, 510, 502, 621
1557796123079, 112897, 509, 502, 622
1557796123093, 112910, 510, 502, 623
1557796123106, 112923, 510, 502, 623
1557796123118, 112935, 509, 502, 623
1557796123131, 112949, 508, 501, 623
1557796123145, 112962, 509, 501, 623
1557796123157, 112975, 510, 501, 622
1557796123171, 112988, 510, 501, 621
1557796123184, 113001, 510, 502, 621
1557796123196, 113014, 510, 502, 620
1557796123210, 113028, 509, 502, 620
1557796123223, 113040, 509, 500, 620
1557796123236, 113053, 509, 501, 621
1557796123249, 113067, 509, 501, 622
1557796123261, 113080, 508, 501, 622
1557796123276, 113092, 509, 503, 623
1557796123289, 113105, 509, 503, 623
1557796123301, 113119, 509, 504, 623
1557796123314, 113132, 509, 504, 623
1557796123327, 113144, 508, 502, 623
1557796123340, 113158, 508, 501, 623
1557796123353, 113171, 509, 501, 623
1557796123366, 113184, 509, 500, 622
1557796123379, 113197, 508, 501, 622
1557796123393, 113210, 509, 501, 622
1557796123406, 113223, 510, 501, 620
1557796123419, 113236, 509, 502, 620
1557796123431, 113250, 509, 502, 622
1557796123444, 113262, 507, 502, 623
1557796123458, 113275, 508, 501, 623
1557796123471, 113289, 509, 503, 622
1557796123485, 113302, 509, 504, 621
1557796123497, 113314, 508, 503, 623
1557796123509, 113328, 506, 502, 623
1557796123523, 113341, 507, 501, 621
1557796123537, 113354, 509, 502, 617
1557796123548, 113367, 513, 508, 612
1557796123561, 113380, 518, 514, 605
1557796123575, 113393, 518, 510, 602
1557796123588, 113406, 515, 506, 605
1557796123601, 113419, 509, 510, 609
1557796123615, 113432, 494, 543, 540
1557796123627, 113445, 509, 532, 522
1557796123641, 113459, 506, 511, 521
1557796123654, 113471, 511, 513, 525
