Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796132291, 122108, 501, 492, 620
1557796132305, 122122, 499, 490, 621
1557796132316, 122134, 499, 489, 620
1557796132329, 122147, 500, 489, 620
1557796132342, 122161, 501, 491, 620
1557796132355, 122174, 501, 491, 621
1557796132369, 122186, 501, 491, 623
1557796132382, 122200, 500, 489, 623
1557796132395, 122213, 500, 489, 621
1557796132409, 122226, 501, 491, 618
1557796132421, 122238, 501, 492, 615
1557796132434, 122252, 504, 493, 613
1557796132448, 122265, 503, 495, 610
1557796132460, 122278, 506, 499, 604
1557796132473, 122291, 507, 505, 597
1557796132486, 122304, 512, 515, 583
1557796132500, 122317, 508, 557, 519
1557796132513, 122331, 512, 530, 517
1557796132526, 122343, 511, 514, 523
1557796132538, 122356, 510, 511, 525
1557796132552, 122370, 509, 513, 529
1557796132565, 122383, 508, 513, 533
1557796132577, 122395, 508, 510, 536
1557796132590, 122408, 518, 579, 830
1557796132604, 122422, 501, 831, 937
1557796132618, 122435, 576, 435, 733
1557796132630, 122448, 527, 453, 658
1557796132643, 122461, 562, 606, 613
1557796132656, 122474, 507, 595, 591
1557796132670, 122487, 521, 567, 612
1557796132683, 122501, 537, 566, 643
1557796132695, 122513, 526, 563, 631
1557796132708, 122526, 527, 561, 621
1557796132722, 122540, 528, 559, 622
1557796132734, 122553, 524, 555, 623
1557796132748, 122565, 524, 551, 620
1557796132761, 122578, 521, 552, 616
1557796132774, 122592, 519, 552, 614
1557796132787, 122605, 518, 551, 613
1557796132800, 122617, 520, 551, 612
1557796132813, 122631, 519, 550, 611
1557796132827, 122644, 520, 548, 611
1557796132839, 122657, 520, 547, 611
1557796132853, 122670, 520, 547, 612
1557796132865, 122683, 520, 548, 612
1557796132879, 122696, 518, 549, 611
1557796132892, 122710, 517, 550, 610
1557796132904, 122722, 517, 550, 610
1557796132918, 122735, 516, 551, 610
1557796132930, 122748, 517, 551, 610
1557796132944, 122762, 517, 549, 611
1557796132957, 122775, 520, 547, 613
1557796132970, 122787, 520, 546, 613
1557796132982, 122801, 521, 546, 613
1557796132996, 122814, 523, 545, 614
1557796133010, 122827, 524, 545, 616
1557796133022, 122840, 526, 546, 617
1557796133035, 122853, 527, 547, 616
1557796133048, 122866, 527, 547, 615
1557796133061, 122880, 527, 547, 615
1557796133075, 122892, 527, 547, 615
1557796133088, 122905, 526, 547, 615
1557796133101, 122918, 525, 548, 614
1557796133114, 122932, 523, 548, 614
1557796133127, 122944, 521, 548, 614
1557796133139, 122957, 519, 548, 613
1557796133153, 122971, 517, 547, 613
1557796133167, 122984, 516, 546, 613
1557796133179, 122996, 515, 546, 613
1557796133193, 123010, 515, 545, 613
1557796133205, 123023, 514, 545, 613
1557796133219, 123036, 514, 545, 615
1557796133231, 123048, 515, 545, 616
1557796133244, 123062, 516, 545, 617
1557796133257, 123075, 516, 544, 616
1557796133271, 123088, 517, 544, 616
1557796133285, 123101, 519, 543, 617
1557796133297, 123114, 521, 542, 618
1557796133310, 123127, 522, 540, 618
1557796133323, 123141, 523, 541, 618
1557796133336, 123154, 524, 541, 618
1557796133350, 123166, 524, 541, 618
1557796133362, 123180, 524, 541, 617
1557796133375, 123193, 522, 542, 616
1557796133388, 123206, 521, 542, 615
1557796133401, 123218, 521, 541, 615
1557796133414, 123232, 521, 541, 615
1557796133428, 123245, 521, 542, 614
1557796133440, 123258, 521, 543, 614
1557796133453, 123271, 521, 543, 615
1557796133466, 123284, 520, 542, 616
1557796133480, 123297, 520, 541, 616
1557796133493, 123311, 520, 540, 616
1557796133506, 123323, 519, 540, 615
1557796133518, 123336, 519, 540, 615
1557796133532, 123350, 519, 541, 615
1557796133545, 123363, 520, 541, 616
1557796133559, 123375, 520, 541, 616
1557796133572, 123388, 520, 541, 617
1557796133584, 123402, 520, 542, 617
1557796133597, 123415, 520, 541, 617
1557796133610, 123428, 519, 541, 617
1557796133623, 123441, 518, 540, 616
1557796133637, 123454, 517, 540, 616
